"","MO","SC","UA","PD","AD","State","Age","Sex","UK_2026","UK_2026Copula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula","Pakistan","PakistanCopula","Australia","AustraliaCopula","Belgium","BelgiumCopula","Canada","CanadaCopula","Denmark","DenmarkCopula","France","FranceCopula","Hungary","HungaryCopula","Iran","IranCopula","Italy","ItalyCopula","Malaysia","MalaysiaCopula","Poland","PolandCopula","Portugal","PortugalCopula","Romania","RomaniaCopula","Taiwan","TaiwanCopula","Thailand","ThailandCopula","Trinidad_and_Tobago","Trinidad_and_TobagoCopula","USA","USACopula","Singapore","SingaporeCopula","England_2018","England_2018Copula"
"1",1,1,1,1,1,11111,"18-34","male",1,0.98735407,1,0.96990811,1,0.96936123,1,0.97275738,1,0.98545241,1,0.97969671,1,0.98899929,1,NA,1,0.99046303,1,0.97633589,1,0.93822378,1,0.98406268,1,0.9931672,1,0.98860212,1,0.97270891,1,0.9872636,1,0.98048799,1,0.99334951,1,0.98901379,1,0.98835375,1,0.9794555,1,0.98440669,1,0.99197208,1,0.9834488,1,0.98083702,1,0.98159823
"2",1,1,1,1,2,11112,"18-34","male",0.848,0.9199178,0.785,0.84831376,0.907,0.86360925,0.805,0.85161208,0.875,0.91744466,0.914,0.89021471,0.999,0.94018715,0.964,NA,0.798,0.94670528,0.745,0.87503103,0.826,0.88874704,0.818,0.88285701,0.91,0.9617033,0.902,0.93243292,0.821,0.84964021,0.905,0.92266708,0.852,0.90431559,0.925,0.96998116,0.767,0.93769555,0.914,0.94474332,0.661,0.88006059,0.766,0.91679733,0.896,0.95416371,0.844,0.90373834,0.85,0.87537439,0.848,0.9009837
"3",1,1,1,1,3,11113,"18-34","male",0.414,0.66728054,0.736,0.74680046,0.742,0.71746535,0.37,0.58546906,0.734,0.76113384,0.541,0.69431698,0.611,0.71855061,0.819,NA,0.498,0.71418042,0.386,0.59861349,0.609,0.7056156,0.518,0.516064,0.622,0.79024328,0.722,0.71827134,0.714,0.60608144,0.787,0.69688813,0.731,0.73539796,0.744,0.84227707,0.368,0.76216087,0.762,0.83502265,0.343,0.61880283,0.549,0.74147002,0.768,0.79752232,0.55,0.66171882,0.431,0.56769777,0.414,0.72128221
"4",1,1,1,2,1,11121,"18-34","male",0.796,0.92370736,0.768,0.87024155,0.913,0.85766264,0.843,0.86723595,0.869,0.91276813,0.887,0.89067954,0.887,0.92426359,0.965,NA,0.828,0.94125721,0.764,0.87766671,0.844,0.88544632,0.824,0.92114257,0.888,0.9590269,0.9,0.93505024,0.844,0.82872656,0.902,0.92633411,0.879,0.88948045,0.894,0.95590869,0.694,0.93374485,0.896,0.92874827,0.694,0.87398692,0.726,0.91555924,0.843,0.94083144,0.827,0.90342482,0.854,0.90801975,0.796,0.9061046
"5",1,1,1,2,2,11122,"18-34","male",0.725,0.84848546,0.705,0.78698362,0.87,0.80794975,0.719,0.76980145,0.783,0.83851333,0.825,0.80133087,0.887,0.86922466,0.929,NA,0.731,0.8936689,0.661,0.79517457,0.781,0.83172952,0.756,0.81056862,0.798,0.92270793,0.822,0.87357095,0.746,0.69392351,0.85,0.85438504,0.798,0.8145792,0.868,0.9309669,0.657,0.87666578,0.842,0.88500935,0.54,0.76349923,0.694,0.84629422,0.832,0.89651556,0.8,0.81647398,0.704,0.8006966,0.725,0.82653874
"6",1,1,1,2,3,11123,"18-34","male",0.291,0.60150472,0.656,0.68803726,0.705,0.66790697,0.284,0.5115305,0.642,0.68186933,0.452,0.60641097,0.499,0.64978197,0.784,NA,0.43,0.66455093,0.302,0.52428945,0.564,0.64809197,0.456,0.45461399,0.51,0.75016885,0.642,0.66122406,0.639,0.45048418,0.732,0.62846571,0.677,0.64345353,0.687,0.80382243,0.498,0.70078011,0.69,0.77573943,0.222,0.50507396,0.477,0.67033494,0.704,0.74221646,0.517,0.57504221,0.285,0.50615261,0.291,0.64421648
"7",1,1,1,3,1,11131,"18-34","male",0.264,0.93477358,0.654,0.89755894,0.749,0.88490812,0.366,0.89021417,0.703,0.92606903,0.424,0.912136,0.361,0.93119231,0.786,NA,0.446,0.94704881,0.424,0.89548933,0.591,0.89355999,0.49,0.92989631,0.561,0.96206129,0.642,0.94351737,0.77,0.86029564,0.666,0.93625534,0.69,0.91139692,0.462,0.95847821,0.297,0.9419284,0.597,0.94134201,0.364,0.89630306,0.45,0.93330776,0.677,0.94349371,0.463,0.91892496,0.48,0.91680469,0.264,0.92357375
"8",1,1,1,3,2,11132,"18-34","male",0.193,0.83819112,0.591,0.7851456,0.706,0.80216622,0.242,0.76002685,0.617,0.8266659,0.362,0.79723935,0.361,0.85065801,0.75,NA,0.349,0.88017566,0.321,0.77961491,0.528,0.82025756,0.422,0.79546553,0.471,0.90981397,0.564,0.8619387,0.672,0.68260276,0.614,0.8416205,0.609,0.80998294,0.436,0.91660315,0.501,0.86359085,0.543,0.87940946,0.21,0.75321073,0.418,0.84422459,0.666,0.87666638,0.447,0.80512969,0.33,0.77799249,0.193,0.82018318
"9",1,1,1,3,3,11133,"18-34","male",0.028,0.53149388,0.542,0.65551637,0.591,0.63411329,0.041,0.44528235,0.498,0.61822141,0.28,0.55622783,0.296,0.56365993,0.605,NA,0.234,0.60115184,0.218,0.44814958,0.311,0.59242494,0.122,0.37169853,0.357,0.68752685,0.384,0.59356604,0.541,0.36483492,0.496,0.55919741,0.604,0.59218277,0.255,0.73617283,0.135,0.63634739,0.391,0.73219123,0.082,0.42480959,0.34,0.62892496,0.538,0.66268966,0.29,0.50252956,0.202,0.41164591,0.028,0.59357603
"10",1,1,2,1,1,11211,"18-34","male",0.883,0.93412816,0.804,0.87531997,0.899,0.88336061,0.897,0.89251941,0.887,0.92297818,0.905,0.90836123,0.999,0.94383645,0.96,NA,0.842,0.9605063,0.817,0.91090068,0.817,0.89912663,0.839,0.93457549,0.844,0.9589035,0.955,0.94217101,0.834,0.85244965,0.915,0.93207915,0.88,0.90679712,0.905,0.96448642,0.702,0.93914558,0.924,0.93977374,0.73,0.88561705,0.739,0.91787727,0.864,0.9617829,0.86,0.9142421,0.744,0.90588193,0.883,0.91626445
