"","England","Germany","Netherlands","USA"
"32122",0.457,0.532,0.452,0.365
"32123",0.289,0.332,0.215,0.176
"32131",0.372,0.276,0.326,0.24
"32132",0.276,0.21,0.209,0.143
"32133",0.108,0.009,-0.028,-0.046
"32211",0.571,0.658,0.59,0.454
"32212",0.475,0.591,0.474,0.356
"32213",0.308,0.391,0.236,0.167
"32221",0.484,0.545,0.488,0.356
"32222",0.387,0.479,0.371,0.258
"32223",0.22,0.278,0.134,0.069
"32231",0.303,0.223,0.245,0.134
"32232",0.207,0.156,0.129,0.036
"32233",0.039,-0.044,-0.109,-0.153
"32311",0.476,0.542,0.489,0.321
"32312",0.38,0.476,0.373,0.224
"32313",0.213,0.275,0.135,0.035
"32321",0.389,0.43,0.387,0.223
"32322",0.292,0.363,0.27,0.126
"32323",0.125,0.163,0.033,-0.063
"32331",0.208,0.108,0.144,0.001
"32332",0.112,0.041,0.028,-0.096
"32333",-0.056,-0.159,-0.21,-0.285
"33111",0.524,0.542,0.569,0.424
"33112",0.428,0.475,0.453,0.326
"33113",0.261,0.275,0.215,0.137
"33121",0.436,0.429,0.466,0.326
"33122",0.34,0.363,0.35,0.228
"33123",0.173,0.162,0.113,0.039
"33131",0.256,0.107,0.224,0.104
"33132",0.159,0.04,0.107,0.006
"33133",-0.008,-0.16,-0.13,-0.183
"33211",0.455,0.488,0.488,0.317
"33212",0.359,0.422,0.372,0.22
"33213",0.191,0.221,0.134,0.031
"33221",0.367,0.376,0.386,0.219
"33222",0.271,0.309,0.269,0.122
"33223",0.104,0.109,0.032,-0.067
"33231",0.186,0.053,0.143,-0.003
"33232",0.09,-0.013,0.027,-0.1
"33233",-0.077,-0.213,-0.211,-0.289
"33311",0.36,0.373,0.387,0.185
"33312",0.264,0.307,0.271,0.087
"33313",0.096,0.106,0.034,-0.102
"33321",0.272,0.261,0.285,0.087
"33322",0.176,0.194,0.169,-0.011
"33323",0.009,-0.006,-0.069,-0.2
"33331",0.091,-0.062,0.042,-0.135
"33332",-0.005,-0.128,-0.074,-0.233
"33333",-0.172,-0.329,-0.312,-0.422
