,Australia,Belgium,Canada,China,Denmark,Egypt,England,Ethiopia,France,Germany,HongKong,Hungary,India,Indonesia,Iran,Ireland,Italy,Japan_cTTO,Japan_DCE,Malaysia,Mexico,Netherlands,NewZealand,Peru_cTTO,Peru_DCE,Philippines,Poland,Portugal,Romania,Slovenia,SouthKorea,Spain,Sweden_2020,Sweden_2022,Taiwan,Thailand,Uganda,Uruguay,USA,Vietnam,WePP
PD4,-0.276,-0.379942857,-0.1776,-0.252,-0.381,-0.274,-0.276,-0.2703,-0.26374,-0.404,-0.307,-0.288,-0.3897716,-0.198,-0.3679216,-0.373,-0.353,-0.1314,-0.124,-0.259,-0.2283,-0.36,-0.242,-0.2876003,-0.1484229,-0.26727696,-0.261,-0.254,-0.1556527,-0.395,-0.166,-0.245,-0.1024,-0.319,-0.3402,-0.2069,-0.58,-0.187,-0.318,-0.27,-0.25
PD5,-0.285,-0.4822616,-0.222,-0.302,-0.537,-0.434,-0.335,-0.4064,-0.44399,-0.612,-0.354,-0.411,-0.5842377,-0.246,-0.4847186,-0.51,-0.408,-0.1912,-0.193,-0.338,-0.4579,-0.415,-0.381,-0.4761364,-0.2562385,-0.3756,-0.575,-0.406,-0.3752472,-0.751,-0.207,-0.382,-0.1974,-0.442,-0.4534,-0.2564,-0.798,-0.2705,-0.414,-0.3666,-0.3
AD1,NA,NA,-0.0376,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD2,-0.032,-0.061019419,-0.0752,-0.049,-0.072,-0.054,-0.078,-0.0259,-0.02046,-0.03,-0.08,-0.04,-0.0162728,-0.079,-0.0845726,-0.08,-0.044,-0.0718,-0.0781,-0.072,-0.0551,-0.07,-0.072,-0.1230526,-0.0396973,-0.02822,-0.018,-0.036,-0.037992,-0.057,-0.033,-0.081,-0.0325,-0.031,-0.0637,-0.0581,-0.05,-0.0095,-0.057,-0.0638,-0.06
AD3,-0.066,-0.113280877,-0.1128,-0.118,-0.191,-0.181,-0.104,-0.0848,-0.04683,-0.082,-0.14,-0.093,-0.0626321,-0.134,-0.2190237,-0.202,-0.109,-0.1105,-0.1111,-0.095,-0.0824,-0.145,-0.157,-0.1259986,-0.0789043,-0.035358,-0.029,-0.085,-0.0592041,-0.118,-0.046,-0.128,-0.0868,-0.122,-0.1829,-0.0958,-0.127,-0.0435,-0.123,-0.1126,-0.1
AD4,-0.238,-0.345627574,-0.1504,-0.215,-0.43,-0.331,-0.285,-0.2987,-0.20005,-0.244,-0.293,-0.261,-0.1635654,-0.227,-0.3387707,-0.535,-0.318,-0.1682,-0.173,-0.23,-0.1611,-0.356,-0.265,-0.1883762,-0.1418575,-0.147657,-0.108,-0.212,-0.1101765,-0.359,-0.102,-0.27,-0.2002,-0.277,-0.3401,-0.2327,-0.235,-0.1043,-0.299,-0.1713,-0.25
AD5,-0.238,-0.4387052,-0.188,-0.258,-0.618,-0.413,-0.289,-0.4578,-0.25803,-0.356,-0.348,-0.34,-0.2470492,-0.305,-0.4092182,-0.646,-0.322,-0.196,-0.1968,-0.3,-0.3337,-0.421,-0.389,-0.4223345,-0.2289756,-0.2075,-0.232,-0.284,-0.2184153,-0.463,-0.137,-0.348,-0.2339,-0.394,-0.4212,-0.2953,-0.282,-0.1771,-0.321,-0.2388,-0.3
MO45,NA,NA,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC45,NA,NA,-0.0584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA45,NA,NA,-0.1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD45,NA,NA,-0.1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD45,NA,NA,-0.1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Num45sq,NA,NA,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N5,-0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0023,NA,NA,NA,NA,NA,NA,NA,NA
