"","MO","SC","UA","PD","AD","State","Age","Sex","UK_2026","UK_2026Copula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula","Pakistan","PakistanCopula","Australia","AustraliaCopula","Belgium","BelgiumCopula","Canada","CanadaCopula","Denmark","DenmarkCopula","France","FranceCopula","Hungary","HungaryCopula","Iran","IranCopula","Italy","ItalyCopula","Malaysia","MalaysiaCopula","Poland","PolandCopula","Portugal","PortugalCopula","Romania","RomaniaCopula","Taiwan","TaiwanCopula","Thailand","ThailandCopula","Trinidad_and_Tobago","Trinidad_and_TobagoCopula","USA","USACopula","Singapore","SingaporeCopula","England_2018","England_2018Copula"
"17288",3,4,2,3,3,34233,"45-54","female",0.539,0.437861,0.472,0.53678343,0.57,0.65997475,0.452,0.49567324,0.331,0.50783241,0.464,0.45301371,0.562,0.61599132,NA,0.76090811,0.573,0.48042951,0.51,0.41995979,0.492,0.56780866,0.484,0.54722156,0.653,0.2735067,0.469,0.68214586,-0.033,0.48129917,0.473,0.693348,0.442,0.55692928,0.753,0.66839996,0.522,0.29469107,0.671,0.68809289,0.123,0.14218558,0.5,0.36758912,0.552,0.66519877,0.381,0.57295806,0.257,0.11851026,0.522,0.437861
"17289",3,4,2,3,4,34234,"45-54","female",0.352,0.24925805,0.41,0.51014986,0.514,0.58358646,0.241,0.30290899,0.234,0.43826509,0.321,0.29331122,0.4,0.45532458,NA,0.69011263,0.401,0.34571918,0.278,0.26478623,0.335,0.4627884,0.245,0.40394259,0.5,0.14390827,0.301,0.59278016,-0.153,0.42403583,0.264,0.63415141,0.307,0.50298097,0.674,0.5806305,0.395,0.21888853,0.62,0.61340987,-0.034,-0.00206898,0.363,0.27206707,0.465,0.60378348,0.185,0.47030353,0.031,-0.06554118,0.341,0.24925805
"17290",3,4,2,3,5,34235,"45-54","female",0.274,0.08989874,0.386,0.48900838,0.479,0.51885908,0.176,0.14142932,0.191,0.38095041,0.244,0.1588387,0.288,0.31851665,NA,0.62904309,0.248,0.23323937,0.185,0.13574018,0.297,0.37325439,0.057,0.2812498,0.442,0.03656403,0.222,0.51613581,-0.223,0.37739591,0.26,0.58349097,0.237,0.45986528,0.55,0.50404811,0.323,0.15482964,0.512,0.54933932,-0.116,-0.12035675,0.301,0.19143509,0.362,0.55053219,0.143,0.38475756,-0.007,-0.21725405,0.337,0.08989874
"17291",3,4,2,4,1,34241,"45-54","female",0.36,0.25656943,0.527,0.52046625,0.503,0.61811106,0.329,0.38221583,0.335,0.4876168,0.448,0.29176438,0.349,0.38695844,NA,0.70148374,0.444,0.37999188,0.368,0.35124597,0.39,0.49968605,0.388,0.45024596,0.483,0.18891726,0.347,0.60898885,0.057,0.51083308,0.317,0.6134585,0.385,0.52448954,0.571,0.48191538,0.454,0.24102055,0.651,0.58251915,0.123,0.10285231,0.456,0.26477602,0.443,0.59418828,0.255,0.48772944,0.048,0.06426599,0.434,0.25656943
"17292",3,4,2,4,2,34242,"45-54","female",0.319,0.2277138,0.449,0.49308149,0.47,0.60007922,0.259,0.3284587,0.286,0.44985849,0.367,0.26817305,0.319,0.39025938,NA,0.68779568,0.412,0.33861474,0.307,0.30685382,0.353,0.47253086,0.316,0.42062125,0.463,0.1496781,0.307,0.57874609,-0.027,0.46733518,0.273,0.59323349,0.313,0.48980239,0.553,0.47379141,0.418,0.22650878,0.613,0.56116755,0.06,0.03557406,0.398,0.25244445,0.423,0.59052015,0.198,0.45801655,-0.004,-0.00147204,0.356,0.2277138
"17293",3,4,2,4,3,34243,"45-54","female",0.234,0.17553088,0.416,0.47093111,0.457,0.57279516,0.184,0.26313133,0.217,0.41331104,0.32,0.2248466,0.267,0.36317738,NA,0.6593432,0.378,0.29183604,0.255,0.25690078,0.315,0.43110473,0.197,0.36884339,0.436,0.10480375,0.254,0.53354347,-0.162,0.42938435,0.208,0.5629032,0.29,0.46202651,0.542,0.44121541,0.369,0.19963953,0.592,0.52673833,-0.06,-0.02695686,0.36,0.22626569,0.369,0.57125237,0.122,0.42027558,-0.064,-0.06719138,0.33,0.17553088
"17294",3,4,2,4,4,34244,"45-54","female",0.047,0.04532442,0.354,0.44382964,0.401,0.5070956,-0.027,0.12160787,0.12,0.34899837,0.177,0.12795587,0.105,0.27283073,NA,0.58678226,0.206,0.20210868,0.023,0.15819022,0.175,0.32582001,-0.042,0.22525698,0.283,0.01596533,0.086,0.43958081,-0.282,0.36743168,-0.001,0.50105977,0.155,0.43355832,0.463,0.35041805,0.242,0.13373059,0.541,0.44934469,-0.217,-0.12861307,0.223,0.16164162,0.282,0.50935336,-0.074,0.34393509,-0.283,-0.18555436,0.149,0.04532442
"17295",3,4,2,4,5,34245,"45-54","female",-0.031,-0.06559338,0.33,0.42102896,0.366,0.4495456,-0.092,0.00263883,0.077,0.29418516,0.1,0.04602103,-0.007,0.19617153,NA,0.52050891,0.053,0.12864282,-0.07,0.07747661,0.138,0.23246583,-0.23,0.09774037,0.225,-0.05733396,0.007,0.35336423,-0.352,0.31438951,-0.005,0.44448045,0.085,0.4122354,0.339,0.26658786,0.17,0.07644007,0.433,0.37909332,-0.298,-0.21149387,0.16,0.10618551,0.179,0.45294132,-0.116,0.27855211,-0.315,-0.28109104,0.145,-0.06559338
"17296",3,4,2,5,1,34251,"45-54","female",0.252,0.08043845,0.458,0.47468792,0.462,0.55371645,0.274,0.22605742,0.285,0.42305276,0.312,0.13226516,0.141,0.22135814,NA,0.62025078,0.282,0.24913396,0.266,0.24095814,0.346,0.40312803,0.232,0.32573882,0.303,0.08278465,0.224,0.48337037,-0.06,0.47170623,0.262,0.51313386,0.306,0.46036827,0.257,0.32160809,0.302,0.17114623,0.432,0.46414184,0.01,-0.01127995,0.406,0.16940726,0.274,0.52681175,0.181,0.37607844,-0.045,-0.05752711,0.375,0.08043845
"17297",3,4,2,5,2,34252,"45-54","female",0.211,0.06145645,0.38,0.45262071,0.429,0.54166662,0.204,0.18179197,0.236,0.39173331,0.231,0.11946555,0.111,0.23136733,NA,0.61488745,0.25,0.21718154,0.205,0.20402944,0.308,0.38328245,0.16,0.30476333,0.282,0.05020565,0.184,0.46809481,-0.144,0.43446852,0.218,0.50269377,0.234,0.43131431,0.239,0.32377973,0.266,0.16488834,0.394,0.45264954,-0.054,-0.06859083,0.348,0.16326041,0.254,0.52850435,0.124,0.35883802,-0.091,-0.11392772,0.297,0.06145645
