"","Denmark","France","Germany","Japan","Netherlands","Russia","Spain","Thailand","UK","USA","Zimbabwe"
"13223",0.667,0.483,0.822,0.632,0.628,0.772,0.652,0.54,0.617,0.705,0.674
"13224",0.52,0.342,0.632,0.608,0.415,0.704,0.469,0.434,0.404,0.583,0.612
"13225",0.368,0.195,0.434,0.583,0.193,0.634,0.279,0.323,0.183,0.456,0.547
"13231",0.723,0.551,0.8,0.679,0.735,0.8,0.696,0.558,0.663,0.755,0.707
"13232",0.669,0.479,0.8,0.629,0.637,0.767,0.647,0.532,0.607,0.702,0.67
"13233",0.655,0.461,0.8,0.616,0.611,0.759,0.634,0.526,0.592,0.689,0.661
"13234",0.508,0.32,0.61,0.592,0.398,0.691,0.451,0.419,0.379,0.569,0.598
"13235",0.356,0.173,0.412,0.567,0.176,0.621,0.261,0.309,0.158,0.444,0.534
"13241",0.589,0.42,0.59,0.633,0.545,0.676,0.511,0.447,0.451,0.62,0.613
"13242",0.535,0.349,0.59,0.583,0.446,0.643,0.462,0.422,0.394,0.575,0.576
"13243",0.521,0.33,0.59,0.57,0.421,0.635,0.449,0.415,0.38,0.563,0.567
"13244",0.374,0.223,0.463,0.546,0.253,0.567,0.323,0.336,0.219,0.466,0.504
"13245",0.222,0.112,0.331,0.521,0.079,0.497,0.192,0.254,0.053,0.364,0.44
"13251",0.389,0.224,0.274,0.565,0.258,0.489,0.233,0.282,0.131,0.418,0.472
"13252",0.335,0.152,0.274,0.515,0.16,0.456,0.184,0.256,0.075,0.383,0.435
"13253",0.321,0.134,0.274,0.502,0.134,0.448,0.171,0.25,0.06,0.374,0.426
"13254",0.174,0.078,0.242,0.478,0.036,0.38,0.131,0.211,-0.021,0.311,0.363
"13255",0.022,0.02,0.209,0.453,-0.067,0.31,0.089,0.172,-0.105,0.244,0.299
"13311",0.775,0.632,0.912,0.75,0.815,0.852,0.771,0.618,0.779,0.814,0.765
"13312",0.721,0.561,0.912,0.7,0.717,0.819,0.722,0.593,0.723,0.775,0.729
"13313",0.707,0.542,0.912,0.687,0.691,0.811,0.709,0.586,0.708,0.765,0.719
"13314",0.56,0.401,0.722,0.663,0.478,0.743,0.526,0.48,0.495,0.636,0.657
"13315",0.408,0.254,0.524,0.638,0.256,0.673,0.336,0.369,0.274,0.503,0.592
"13321",0.725,0.542,0.822,0.686,0.746,0.799,0.7,0.56,0.681,0.761,0.711
"13322",0.671,0.471,0.822,0.636,0.648,0.766,0.651,0.535,0.624,0.709,0.675
"13323",0.657,0.452,0.822,0.623,0.622,0.758,0.638,0.528,0.61,0.695,0.665
"13324",0.511,0.311,0.632,0.599,0.409,0.69,0.455,0.422,0.397,0.575,0.603
"13325",0.358,0.164,0.434,0.574,0.187,0.62,0.265,0.311,0.176,0.451,0.538
"13331",0.713,0.52,0.8,0.67,0.729,0.786,0.682,0.546,0.656,0.748,0.698
"13332",0.659,0.449,0.8,0.62,0.631,0.753,0.633,0.521,0.6,0.693,0.662
"13333",0.645,0.43,0.8,0.607,0.605,0.745,0.62,0.514,0.585,0.678,0.652
"13334",0.498,0.289,0.61,0.583,0.392,0.677,0.437,0.408,0.372,0.56,0.59
"13335",0.346,0.142,0.412,0.558,0.17,0.607,0.247,0.297,0.151,0.438,0.525
"13341",0.58,0.389,0.59,0.625,0.538,0.662,0.497,0.436,0.444,0.615,0.604
"13342",0.526,0.318,0.59,0.575,0.44,0.629,0.448,0.41,0.387,0.567,0.568
"13343",0.512,0.299,0.59,0.562,0.414,0.621,0.435,0.404,0.373,0.554,0.558
"13344",0.365,0.192,0.463,0.537,0.247,0.553,0.309,0.325,0.212,0.459,0.496
"13345",0.213,0.081,0.331,0.513,0.073,0.483,0.178,0.242,0.046,0.36,0.431
"13351",0.379,0.193,0.274,0.556,0.252,0.475,0.219,0.27,0.124,0.416,0.463
"13352",0.325,0.122,0.274,0.506,0.154,0.442,0.17,0.245,0.068,0.378,0.427
"13353",0.311,0.103,0.274,0.493,0.128,0.434,0.157,0.238,0.053,0.368,0.417
"13354",0.164,0.047,0.242,0.469,0.029,0.366,0.117,0.2,-0.028,0.306,0.355
"13355",0.012,-0.011,0.209,0.444,-0.073,0.296,0.075,0.16,-0.112,0.242,0.29
"13411",0.744,0.564,0.806,0.721,0.73,0.796,0.635,0.553,0.672,0.74,0.735
"13412",0.69,0.493,0.806,0.671,0.632,0.763,0.586,0.528,0.615,0.707,0.698
"13413",0.676,0.474,0.806,0.658,0.606,0.755,0.573,0.521,0.601,0.699,0.689
"13414",0.529,0.361,0.668,0.634,0.43,0.687,0.437,0.437,0.431,0.589,0.627
"13415",0.377,0.243,0.524,0.609,0.248,0.617,0.295,0.35,0.255,0.474,0.562
"13421",0.694,0.474,0.716,0.657,0.661,0.743,0.563,0.495,0.573,0.693,0.681
"13422",0.64,0.403,0.716,0.607,0.563,0.71,0.514,0.47,0.517,0.647,0.645
"13423",0.626,0.384,0.716,0.594,0.537,0.702,0.501,0.463,0.502,0.635,0.635
