"","Denmark","France","Germany","Japan","Netherlands","Russia","Spain","Thailand","UK","USA","Zimbabwe"
"21245",0.242,0.196,0.337,0.514,0.132,0.538,0.239,0.275,0.1,0.398,0.486
"21251",0.408,0.308,0.28,0.557,0.311,0.53,0.28,0.303,0.178,0.451,0.517
"21252",0.354,0.237,0.28,0.507,0.212,0.497,0.231,0.278,0.122,0.418,0.481
"21253",0.34,0.218,0.28,0.494,0.187,0.489,0.218,0.271,0.107,0.409,0.471
"21254",0.193,0.162,0.248,0.47,0.088,0.421,0.178,0.233,0.026,0.344,0.409
"21255",0.041,0.104,0.215,0.445,-0.014,0.351,0.136,0.193,-0.058,0.276,0.344
"21311",0.794,0.716,0.918,0.742,0.867,0.893,0.818,0.639,0.826,0.846,0.811
"21312",0.74,0.645,0.918,0.692,0.769,0.86,0.769,0.614,0.77,0.81,0.774
"21313",0.726,0.626,0.918,0.679,0.743,0.852,0.756,0.607,0.755,0.801,0.765
"21314",0.58,0.485,0.727,0.655,0.53,0.784,0.573,0.501,0.542,0.671,0.703
"21315",0.427,0.338,0.53,0.63,0.308,0.714,0.383,0.39,0.321,0.536,0.638
"21321",0.745,0.627,0.828,0.678,0.799,0.84,0.747,0.582,0.728,0.797,0.757
"21322",0.691,0.555,0.828,0.628,0.7,0.807,0.697,0.556,0.671,0.748,0.721
"21323",0.677,0.537,0.828,0.615,0.675,0.799,0.685,0.55,0.657,0.735,0.711
"21324",0.53,0.395,0.637,0.591,0.461,0.731,0.502,0.443,0.444,0.613,0.649
"21325",0.378,0.249,0.44,0.566,0.24,0.661,0.312,0.333,0.223,0.486,0.584
"21331",0.732,0.604,0.806,0.662,0.781,0.827,0.729,0.567,0.703,0.785,0.744
"21332",0.678,0.533,0.806,0.612,0.683,0.794,0.68,0.542,0.647,0.732,0.707
"21333",0.664,0.514,0.806,0.599,0.657,0.786,0.667,0.535,0.632,0.719,0.698
"21334",0.518,0.373,0.615,0.575,0.444,0.718,0.484,0.429,0.419,0.599,0.636
"21335",0.365,0.226,0.418,0.55,0.222,0.648,0.294,0.318,0.198,0.474,0.571
"21341",0.599,0.474,0.595,0.617,0.591,0.703,0.544,0.457,0.491,0.651,0.65
"21342",0.545,0.402,0.595,0.567,0.492,0.67,0.495,0.432,0.434,0.605,0.614
"21343",0.531,0.384,0.595,0.554,0.467,0.662,0.482,0.425,0.42,0.593,0.604
"21344",0.384,0.277,0.468,0.53,0.299,0.594,0.356,0.346,0.26,0.495,0.542
"21345",0.232,0.165,0.337,0.505,0.125,0.524,0.225,0.264,0.093,0.394,0.477
"21351",0.398,0.277,0.28,0.548,0.304,0.516,0.266,0.291,0.171,0.449,0.509
"21352",0.344,0.206,0.28,0.498,0.206,0.483,0.217,0.266,0.115,0.413,0.472
"21353",0.33,0.187,0.28,0.485,0.18,0.475,0.204,0.259,0.1,0.404,0.463
"21354",0.184,0.132,0.248,0.461,0.082,0.407,0.164,0.221,0.019,0.34,0.401
"21355",0.031,0.073,0.215,0.436,-0.021,0.337,0.122,0.181,-0.065,0.274,0.336
"21411",0.763,0.649,0.812,0.713,0.782,0.837,0.682,0.574,0.719,0.772,0.781
"21412",0.709,0.577,0.812,0.663,0.684,0.804,0.632,0.549,0.663,0.741,0.744
"21413",0.695,0.559,0.812,0.65,0.658,0.796,0.62,0.542,0.648,0.733,0.735
"21414",0.548,0.445,0.673,0.626,0.483,0.728,0.483,0.458,0.478,0.622,0.672
"21415",0.396,0.328,0.53,0.601,0.3,0.658,0.342,0.371,0.302,0.507,0.608
"21421",0.713,0.559,0.722,0.649,0.713,0.784,0.61,0.517,0.62,0.728,0.727
"21422",0.659,0.487,0.722,0.599,0.615,0.751,0.561,0.491,0.564,0.684,0.691
"21423",0.645,0.469,0.722,0.586,0.589,0.743,0.548,0.485,0.549,0.673,0.681
"21424",0.499,0.356,0.583,0.562,0.414,0.675,0.412,0.401,0.38,0.569,0.619
"21425",0.346,0.238,0.44,0.537,0.231,0.605,0.271,0.313,0.204,0.462,0.554
"21431",0.701,0.537,0.7,0.633,0.696,0.771,0.593,0.502,0.596,0.717,0.714
"21432",0.647,0.465,0.7,0.583,0.598,0.738,0.543,0.477,0.54,0.67,0.677
"21433",0.633,0.447,0.7,0.57,0.572,0.73,0.531,0.47,0.525,0.658,0.668
"21434",0.486,0.333,0.561,0.546,0.397,0.662,0.394,0.386,0.355,0.556,0.605
"21435",0.334,0.216,0.418,0.521,0.214,0.592,0.253,0.299,0.179,0.451,0.541
"21441",0.567,0.429,0.532,0.588,0.537,0.647,0.446,0.41,0.419,0.598,0.62
"21442",0.514,0.357,0.532,0.538,0.438,0.614,0.397,0.385,0.362,0.558,0.583
"21443",0.499,0.339,0.532,0.525,0.413,0.606,0.384,0.378,0.348,0.547,0.574
"21444",0.353,0.248,0.436,0.501,0.268,0.538,0.286,0.313,0.213,0.462,0.512
"21445",0.2,0.155,0.337,0.476,0.117,0.468,0.184,0.244,0.074,0.373,0.447
"21451",0.367,0.267,0.28,0.519,0.296,0.46,0.225,0.272,0.152,0.42,0.479
"21452",0.313,0.195,0.28,0.469,0.198,0.427,0.176,0.247,0.096,0.389,0.442
"21453",0.299,0.177,0.28,0.456,0.172,0.419,0.163,0.24,0.081,0.381,0.433
"21454",0.152,0.121,0.248,0.432,0.074,0.351,0.123,0.202,0,0.319,0.37
"21455",0,0.063,0.215,0.407,-0.029,0.281,0.081,0.162,-0.084,0.255,0.306
"21511",0.698,0.509,0.595,0.653,0.608,0.724,0.403,0.441,0.499,0.62,0.719
"21512",0.644,0.438,0.595,0.603,0.51,0.691,0.354,0.416,0.443,0.6,0.682
"21513",0.63,0.419,0.595,0.59,0.484,0.683,0.341,0.409,0.428,0.595,0.673
"21514",0.484,0.364,0.563,0.566,0.386,0.615,0.301,0.371,0.347,0.522,0.611
"21515",0.331,0.305,0.53,0.541,0.283,0.545,0.259,0.331,0.263,0.446,0.546
"21521",0.649,0.42,0.505,0.589,0.54,0.671,0.332,0.384,0.401,0.586,0.665
"21522",0.595,0.348,0.505,0.539,0.441,0.638,0.282,0.358,0.344,0.554,0.629
"21523",0.581,0.33,0.505,0.526,0.416,0.63,0.27,0.352,0.33,0.546,0.619
"21524",0.434,0.274,0.473,0.502,0.317,0.562,0.229,0.314,0.249,0.48,0.557
"21525",0.282,0.216,0.44,0.477,0.215,0.492,0.188,0.274,0.165,0.412,0.492
"21531",0.636,0.397,0.483,0.573,0.522,0.658,0.314,0.369,0.376,0.578,0.652
"21532",0.582,0.326,0.483,0.523,0.424,0.625,0.265,0.344,0.32,0.543,0.615
"21533",0.568,0.307,0.483,0.51,0.398,0.617,0.252,0.337,0.305,0.534,0.606
"21534",0.422,0.252,0.451,0.486,0.3,0.549,0.212,0.299,0.224,0.47,0.544
"21535",0.269,0.193,0.418,0.461,0.197,0.479,0.17,0.259,0.14,0.404,0.479
"21541",0.503,0.336,0.402,0.528,0.425,0.534,0.245,0.315,0.271,0.491,0.558
"21542",0.449,0.265,0.402,0.478,0.327,0.501,0.196,0.289,0.215,0.462,0.522
"21543",0.435,0.246,0.402,0.465,0.301,0.493,0.183,0.283,0.2,0.454,0.512
"21544",0.288,0.19,0.37,0.441,0.203,0.425,0.143,0.244,0.119,0.392,0.45
"21545",0.136,0.132,0.337,0.416,0.1,0.355,0.101,0.205,0.035,0.329,0.385
"21551",0.302,0.244,0.28,0.459,0.279,0.347,0.142,0.232,0.113,0.359,0.417
"21552",0.248,0.173,0.28,0.409,0.181,0.314,0.093,0.207,0.057,0.339,0.38
"21553",0.234,0.154,0.28,0.396,0.155,0.306,0.08,0.2,0.042,0.334,0.371
"21554",0.088,0.099,0.248,0.372,0.057,0.238,0.04,0.162,-0.039,0.276,0.309
"21555",-0.065,0.04,0.215,0.347,-0.046,0.168,-0.002,0.122,-0.123,0.215,0.244
"22111",0.793,0.696,0.845,0.746,0.833,0.904,0.778,0.604,0.778,0.823,0.777
"22112",0.737,0.625,0.845,0.692,0.733,0.871,0.728,0.574,0.72,0.786,0.741
"22113",0.722,0.606,0.845,0.678,0.707,0.863,0.715,0.566,0.705,0.777,0.731
"22114",0.575,0.465,0.655,0.654,0.494,0.795,0.532,0.459,0.492,0.645,0.669
"22115",0.423,0.318,0.457,0.629,0.272,0.725,0.342,0.349,0.271,0.507,0.604
"22121",0.741,0.606,0.755,0.678,0.763,0.851,0.706,0.541,0.678,0.772,0.724
"22122",0.687,0.535,0.755,0.627,0.664,0.818,0.657,0.515,0.621,0.725,0.687
"22123",0.672,0.516,0.755,0.614,0.638,0.81,0.644,0.508,0.606,0.713,0.678
"22124",0.526,0.375,0.565,0.59,0.425,0.742,0.461,0.402,0.393,0.589,0.615
"22125",0.373,0.228,0.367,0.565,0.203,0.672,0.271,0.291,0.172,0.461,0.551
"22131",0.728,0.584,0.733,0.661,0.745,0.838,0.688,0.526,0.653,0.76,0.71
"22132",0.674,0.513,0.733,0.611,0.647,0.805,0.639,0.5,0.596,0.71,0.674
"22133",0.66,0.494,0.733,0.598,0.621,0.797,0.626,0.494,0.582,0.697,0.664
"22134",0.513,0.353,0.543,0.574,0.408,0.729,0.443,0.387,0.369,0.575,0.602
"22135",0.361,0.206,0.345,0.549,0.186,0.659,0.253,0.277,0.148,0.449,0.537
"22141",0.595,0.453,0.523,0.616,0.555,0.714,0.503,0.415,0.44,0.624,0.616
"22142",0.541,0.382,0.523,0.566,0.456,0.681,0.454,0.39,0.384,0.581,0.58
"22143",0.527,0.363,0.523,0.553,0.431,0.673,0.441,0.383,0.369,0.57,0.57
"22144",0.38,0.256,0.396,0.529,0.263,0.605,0.315,0.304,0.209,0.471,0.508
"22145",0.228,0.145,0.264,0.504,0.089,0.535,0.185,0.222,0.043,0.368,0.443
"22151",0.394,0.257,0.207,0.547,0.268,0.527,0.225,0.25,0.121,0.42,0.475
"22152",0.34,0.186,0.207,0.497,0.17,0.494,0.176,0.224,0.064,0.387,0.439
"22153",0.326,0.167,0.207,0.484,0.144,0.486,0.163,0.218,0.05,0.379,0.429
"22154",0.179,0.111,0.175,0.46,0.046,0.418,0.123,0.179,-0.031,0.314,0.367
"22155",0.027,0.053,0.142,0.435,-0.057,0.348,0.081,0.14,-0.115,0.246,0.302
"22211",0.752,0.571,0.845,0.707,0.806,0.845,0.72,0.552,0.747,0.799,0.743
"22212",0.698,0.499,0.845,0.656,0.707,0.812,0.671,0.525,0.691,0.751,0.706
"22213",0.683,0.481,0.845,0.643,0.681,0.804,0.658,0.518,0.676,0.739,0.697
"22214",0.537,0.34,0.655,0.619,0.468,0.736,0.475,0.412,0.463,0.616,0.635
"22215",0.384,0.193,0.457,0.594,0.246,0.666,0.285,0.301,0.242,0.487,0.57
"22221",0.702,0.481,0.755,0.642,0.737,0.792,0.649,0.493,0.648,0.738,0.689
"22222",0.648,0.41,0.755,0.592,0.638,0.759,0.6,0.467,0.592,0.678,0.653
"22223",0.634,0.391,0.755,0.579,0.613,0.751,0.587,0.461,0.577,0.662,0.643
"22224",0.487,0.25,0.565,0.555,0.399,0.683,0.404,0.354,0.364,0.547,0.581
"22225",0.335,0.103,0.367,0.53,0.178,0.613,0.214,0.244,0.143,0.427,0.516
"22231",0.689,0.459,0.733,0.626,0.719,0.779,0.631,0.478,0.624,0.723,0.676
"22232",0.636,0.387,0.733,0.576,0.621,0.746,0.582,0.453,0.567,0.659,0.639
"22233",0.621,0.369,0.733,0.563,0.595,0.738,0.569,0.446,0.553,0.643,0.63
"22234",0.475,0.228,0.543,0.539,0.382,0.67,0.386,0.34,0.34,0.53,0.568
"22235",0.322,0.081,0.345,0.514,0.16,0.6,0.196,0.229,0.119,0.412,0.503
"22241",0.556,0.328,0.523,0.581,0.529,0.655,0.446,0.368,0.411,0.594,0.582
"22242",0.502,0.257,0.523,0.531,0.431,0.622,0.397,0.343,0.355,0.537,0.546
"22243",0.488,0.238,0.523,0.518,0.405,0.614,0.384,0.336,0.34,0.523,0.536
"22244",0.341,0.131,0.396,0.494,0.237,0.546,0.258,0.257,0.18,0.432,0.474
"22245",0.189,0.02,0.264,0.469,0.063,0.476,0.128,0.175,0.014,0.338,0.409
"22251",0.355,0.132,0.207,0.512,0.242,0.468,0.168,0.202,0.092,0.4,0.441
"22252",0.302,0.06,0.207,0.462,0.144,0.435,0.119,0.177,0.035,0.354,0.404
"22253",0.287,0.042,0.207,0.449,0.118,0.427,0.106,0.17,0.021,0.342,0.395
"22254",0.141,-0.014,0.175,0.425,0.02,0.359,0.066,0.132,-0.06,0.285,0.333
"22255",-0.012,-0.072,0.142,0.4,-0.083,0.289,0.024,0.092,-0.144,0.226,0.268
"22311",0.742,0.54,0.845,0.697,0.799,0.831,0.706,0.539,0.74,0.793,0.734
"22312",0.688,0.469,0.845,0.647,0.701,0.798,0.657,0.513,0.683,0.743,0.698
"22313",0.674,0.45,0.845,0.634,0.675,0.79,0.644,0.507,0.669,0.73,0.688
"22314",0.527,0.309,0.655,0.61,0.462,0.722,0.461,0.4,0.456,0.609,0.626
"22315",0.375,0.162,0.457,0.585,0.24,0.652,0.271,0.29,0.235,0.483,0.561
"22321",0.692,0.45,0.755,0.633,0.73,0.778,0.635,0.481,0.641,0.729,0.681
"22322",0.638,0.379,0.755,0.583,0.632,0.745,0.586,0.456,0.585,0.666,0.644
"22323",0.624,0.36,0.755,0.57,0.606,0.737,0.573,0.449,0.57,0.649,0.635
"22324",0.478,0.219,0.565,0.546,0.393,0.669,0.39,0.343,0.357,0.536,0.572
"22325",0.325,0.072,0.367,0.521,0.171,0.599,0.2,0.232,0.136,0.419,0.508
"22331",0.68,0.428,0.733,0.617,0.713,0.765,0.617,0.467,0.617,0.714,0.667
"22332",0.626,0.357,0.733,0.567,0.615,0.732,0.568,0.441,0.56,0.647,0.631
"22333",0.612,0.338,0.733,0.554,0.589,0.724,0.555,0.435,0.546,0.629,0.621
"22334",0.465,0.197,0.543,0.53,0.376,0.656,0.372,0.328,0.333,0.518,0.559
"22335",0.313,0.05,0.345,0.505,0.154,0.586,0.182,0.218,0.112,0.403,0.494
"22341",0.547,0.297,0.523,0.572,0.523,0.641,0.432,0.356,0.404,0.587,0.573
"22342",0.493,0.226,0.523,0.522,0.424,0.608,0.383,0.331,0.348,0.527,0.537
"22343",0.479,0.207,0.523,0.509,0.399,0.6,0.37,0.324,0.333,0.511,0.527
"22344",0.332,0.1,0.396,0.485,0.231,0.532,0.244,0.245,0.173,0.422,0.465
"22345",0.18,-0.011,0.264,0.46,0.057,0.462,0.114,0.163,0.007,0.33,0.4
"22351",0.346,0.101,0.207,0.503,0.236,0.454,0.154,0.191,0.085,0.396,0.432
"22352",0.292,0.03,0.207,0.453,0.138,0.421,0.105,0.165,0.028,0.346,0.396
"22353",0.278,0.011,0.207,0.44,0.112,0.413,0.092,0.159,0.014,0.333,0.386
"22354",0.131,-0.045,0.175,0.416,0.014,0.345,0.052,0.12,-0.067,0.278,0.324
"22355",-0.021,-0.103,0.142,0.391,-0.089,0.275,0.01,0.081,-0.151,0.221,0.259
"22411",0.71,0.472,0.739,0.668,0.714,0.775,0.57,0.474,0.632,0.724,0.704
"22412",0.657,0.401,0.739,0.618,0.616,0.742,0.521,0.448,0.576,0.68,0.668
"22413",0.642,0.382,0.739,0.605,0.59,0.734,0.508,0.442,0.561,0.668,0.658
"22414",0.496,0.269,0.601,0.581,0.414,0.666,0.372,0.358,0.392,0.565,0.596
"22415",0.343,0.151,0.457,0.556,0.232,0.596,0.231,0.27,0.216,0.459,0.531
"22421",0.661,0.382,0.649,0.604,0.645,0.722,0.499,0.416,0.534,0.666,0.65
"22422",0.607,0.311,0.649,0.554,0.547,0.689,0.449,0.391,0.477,0.608,0.614
"22423",0.593,0.292,0.649,0.541,0.521,0.681,0.437,0.384,0.463,0.593,0.604
"22424",0.446,0.179,0.511,0.517,0.345,0.613,0.301,0.3,0.293,0.498,0.542
"22425",0.294,0.061,0.367,0.492,0.163,0.543,0.159,0.213,0.117,0.4,0.477
"22431",0.648,0.36,0.627,0.588,0.628,0.709,0.481,0.402,0.509,0.652,0.637
"22432",0.595,0.289,0.627,0.538,0.53,0.676,0.432,0.376,0.453,0.59,0.601
"22433",0.58,0.27,0.627,0.525,0.504,0.668,0.419,0.37,0.438,0.574,0.591
"22434",0.434,0.157,0.489,0.501,0.328,0.6,0.283,0.286,0.269,0.482,0.529
"22435",0.281,0.039,0.345,0.476,0.146,0.53,0.142,0.198,0.093,0.386,0.464
"22441",0.515,0.252,0.459,0.543,0.468,0.585,0.334,0.31,0.332,0.54,0.543
"22442",0.461,0.181,0.459,0.493,0.37,0.552,0.285,0.284,0.276,0.485,0.507
"22443",0.447,0.162,0.459,0.48,0.344,0.544,0.272,0.278,0.261,0.471,0.497
"22444",0.3,0.072,0.364,0.456,0.199,0.476,0.174,0.212,0.127,0.394,0.435
"22445",0.148,-0.022,0.264,0.431,0.049,0.406,0.073,0.144,-0.013,0.314,0.37
"22451",0.314,0.09,0.207,0.474,0.228,0.398,0.114,0.171,0.066,0.372,0.402
"22452",0.261,0.019,0.207,0.424,0.13,0.365,0.064,0.146,0.009,0.327,0.366
"22453",0.246,0,0.207,0.411,0.104,0.357,0.052,0.139,-0.005,0.316,0.356
"22454",0.1,-0.056,0.175,0.387,0.005,0.289,0.011,0.101,-0.086,0.262,0.294
"22455",-0.053,-0.114,0.142,0.362,-0.097,0.219,-0.031,0.061,-0.17,0.207,0.229
"22511",0.646,0.333,0.522,0.608,0.54,0.662,0.291,0.341,0.413,0.583,0.642
"22512",0.592,0.262,0.522,0.558,0.442,0.629,0.242,0.315,0.356,0.55,0.606
"22513",0.578,0.243,0.522,0.545,0.416,0.621,0.229,0.309,0.342,0.542,0.596
"22514",0.431,0.187,0.49,0.521,0.318,0.553,0.189,0.27,0.261,0.477,0.534
"22515",0.279,0.129,0.457,0.496,0.215,0.483,0.147,0.231,0.177,0.409,0.469
"22521",0.596,0.243,0.432,0.544,0.471,0.609,0.22,0.283,0.314,0.537,0.589
"22522",0.542,0.172,0.432,0.494,0.373,0.576,0.171,0.258,0.258,0.49,0.552
"22523",0.528,0.153,0.432,0.481,0.347,0.568,0.158,0.251,0.243,0.478,0.543
"22524",0.382,0.097,0.401,0.457,0.249,0.5,0.118,0.213,0.162,0.421,0.48
"22525",0.229,0.039,0.367,0.432,0.146,0.43,0.076,0.173,0.078,0.362,0.416
"22531",0.584,0.221,0.41,0.528,0.454,0.596,0.202,0.269,0.29,0.525,0.575
"22532",0.53,0.15,0.41,0.478,0.356,0.563,0.153,0.243,0.233,0.475,0.539
"22533",0.516,0.131,0.41,0.465,0.33,0.555,0.14,0.237,0.219,0.462,0.529
"22534",0.369,0.075,0.378,0.441,0.232,0.487,0.1,0.198,0.138,0.407,0.467
"22535",0.217,0.017,0.345,0.416,0.129,0.417,0.058,0.159,0.054,0.351,0.402
"22541",0.451,0.16,0.329,0.483,0.357,0.472,0.134,0.214,0.185,0.444,0.481
"22542",0.397,0.088,0.329,0.433,0.259,0.439,0.084,0.189,0.128,0.401,0.445
"22543",0.383,0.07,0.329,0.42,0.233,0.431,0.072,0.182,0.114,0.39,0.435
"22544",0.236,0.014,0.297,0.396,0.134,0.363,0.031,0.144,0.033,0.337,0.373
"22545",0.084,-0.044,0.264,0.371,0.032,0.293,-0.011,0.104,-0.051,0.282,0.308
"22551",0.25,0.068,0.207,0.414,0.211,0.285,0.03,0.132,0.027,0.322,0.34
"22552",0.196,-0.003,0.207,0.364,0.113,0.252,-0.019,0.106,-0.03,0.289,0.304
"22553",0.182,-0.022,0.207,0.351,0.087,0.244,-0.032,0.1,-0.044,0.281,0.294
"22554",0.035,-0.078,0.175,0.327,-0.012,0.176,-0.072,0.061,-0.125,0.23,0.232
"22555",-0.117,-0.136,0.142,0.302,-0.114,0.106,-0.114,0.022,-0.209,0.178,0.167
"23111",0.779,0.66,0.831,0.732,0.817,0.891,0.755,0.577,0.758,0.811,0.762
"23112",0.725,0.589,0.831,0.682,0.719,0.858,0.706,0.552,0.702,0.775,0.725
"23113",0.711,0.57,0.831,0.669,0.693,0.85,0.693,0.545,0.687,0.766,0.716
"23114",0.565,0.429,0.64,0.645,0.48,0.782,0.51,0.439,0.474,0.635,0.654
"23115",0.412,0.282,0.443,0.62,0.258,0.712,0.32,0.328,0.253,0.5,0.589
"23121",0.73,0.571,0.741,0.668,0.749,0.838,0.684,0.52,0.66,0.761,0.708
"23122",0.676,0.499,0.741,0.618,0.65,0.805,0.634,0.494,0.603,0.712,0.672
"23123",0.662,0.481,0.741,0.605,0.625,0.797,0.622,0.488,0.589,0.699,0.662
"23124",0.515,0.339,0.55,0.581,0.411,0.729,0.439,0.381,0.376,0.577,0.6
"23125",0.363,0.193,0.353,0.556,0.19,0.659,0.249,0.271,0.155,0.451,0.535
"23131",0.717,0.548,0.719,0.652,0.731,0.825,0.666,0.505,0.635,0.749,0.695
"23132",0.663,0.477,0.719,0.602,0.633,0.792,0.617,0.48,0.579,0.696,0.658
"23133",0.649,0.458,0.719,0.589,0.607,0.784,0.604,0.473,0.564,0.683,0.649
"23134",0.503,0.317,0.528,0.565,0.394,0.716,0.421,0.367,0.351,0.563,0.587
"23135",0.35,0.17,0.331,0.54,0.172,0.646,0.231,0.256,0.13,0.439,0.522
"23141",0.584,0.418,0.508,0.607,0.541,0.701,0.481,0.395,0.423,0.615,0.601
"23142",0.53,0.346,0.508,0.557,0.442,0.668,0.432,0.37,0.366,0.569,0.565
"23143",0.516,0.328,0.508,0.544,0.417,0.66,0.419,0.363,0.352,0.557,0.555
"23144",0.369,0.221,0.381,0.52,0.249,0.592,0.293,0.284,0.192,0.46,0.493
"23145",0.217,0.109,0.25,0.495,0.075,0.522,0.162,0.202,0.025,0.359,0.428
"23151",0.383,0.221,0.193,0.538,0.254,0.514,0.203,0.229,0.103,0.413,0.46
"23152",0.329,0.15,0.193,0.488,0.156,0.481,0.154,0.204,0.047,0.377,0.423
"23153",0.315,0.131,0.193,0.475,0.13,0.473,0.141,0.197,0.032,0.368,0.414
"23154",0.169,0.076,0.161,0.451,0.032,0.405,0.101,0.159,-0.049,0.305,0.352
"23155",0.016,0.017,0.128,0.426,-0.071,0.335,0.059,0.119,-0.133,0.239,0.287
"23211",0.741,0.535,0.831,0.697,0.792,0.832,0.698,0.53,0.729,0.788,0.727
"23212",0.687,0.464,0.831,0.647,0.693,0.799,0.649,0.505,0.673,0.738,0.691
"23213",0.673,0.445,0.831,0.634,0.668,0.791,0.636,0.498,0.658,0.726,0.681
"23214",0.526,0.304,0.64,0.61,0.454,0.723,0.453,0.392,0.445,0.604,0.619
"23215",0.374,0.157,0.443,0.585,0.233,0.653,0.263,0.281,0.224,0.477,0.554
"23221",0.691,0.446,0.741,0.633,0.723,0.779,0.627,0.472,0.631,0.725,0.674
"23222",0.637,0.374,0.741,0.583,0.624,0.746,0.577,0.447,0.575,0.662,0.637
"23223",0.623,0.356,0.741,0.57,0.599,0.738,0.565,0.44,0.56,0.645,0.628
"23224",0.477,0.214,0.55,0.546,0.385,0.67,0.382,0.334,0.347,0.532,0.565
"23225",0.324,0.068,0.353,0.521,0.164,0.6,0.192,0.223,0.126,0.414,0.501
"23231",0.679,0.423,0.719,0.617,0.706,0.766,0.609,0.458,0.606,0.709,0.66
"23232",0.625,0.352,0.719,0.567,0.607,0.733,0.56,0.433,0.55,0.643,0.624
"23233",0.611,0.333,0.719,0.554,0.582,0.725,0.547,0.426,0.535,0.626,0.614
"23234",0.464,0.192,0.528,0.53,0.368,0.657,0.364,0.32,0.322,0.514,0.552
"23235",0.312,0.045,0.331,0.505,0.147,0.587,0.174,0.209,0.101,0.399,0.487
"23241",0.546,0.293,0.508,0.572,0.515,0.642,0.424,0.348,0.394,0.582,0.567
"23242",0.492,0.221,0.508,0.522,0.417,0.609,0.375,0.322,0.338,0.522,0.53
"23243",0.478,0.203,0.508,0.509,0.391,0.601,0.362,0.316,0.323,0.507,0.521
"23244",0.331,0.096,0.381,0.484,0.224,0.533,0.236,0.237,0.163,0.418,0.458
"23245",0.179,-0.016,0.25,0.46,0.05,0.463,0.105,0.154,-0.004,0.326,0.394
"23251",0.345,0.096,0.193,0.503,0.229,0.455,0.146,0.182,0.074,0.39,0.425
"23252",0.291,0.025,0.193,0.453,0.13,0.422,0.097,0.157,0.018,0.341,0.389
"23253",0.277,0.006,0.193,0.44,0.105,0.414,0.084,0.15,0.003,0.328,0.379
"23254",0.13,-0.05,0.161,0.416,0.006,0.346,0.044,0.112,-0.078,0.273,0.317
"23255",-0.022,-0.108,0.128,0.391,-0.096,0.276,0.002,0.072,-0.162,0.216,0.252
"23311",0.731,0.504,0.831,0.688,0.785,0.818,0.684,0.518,0.722,0.782,0.719
"23312",0.677,0.433,0.831,0.638,0.687,0.785,0.635,0.493,0.666,0.729,0.682
"23313",0.663,0.414,0.831,0.625,0.661,0.777,0.622,0.486,0.651,0.716,0.673
"23314",0.517,0.273,0.64,0.601,0.448,0.709,0.439,0.38,0.438,0.596,0.611
"23315",0.364,0.126,0.443,0.576,0.226,0.639,0.249,0.269,0.217,0.472,0.546
"23321",0.682,0.415,0.741,0.624,0.717,0.765,0.613,0.461,0.624,0.716,0.665
"23322",0.628,0.343,0.741,0.574,0.618,0.732,0.563,0.435,0.567,0.649,0.629
"23323",0.614,0.325,0.741,0.561,0.593,0.724,0.551,0.429,0.553,0.632,0.619
"23324",0.467,0.183,0.55,0.537,0.379,0.656,0.368,0.322,0.34,0.521,0.557
"23325",0.315,0.037,0.353,0.512,0.158,0.586,0.178,0.212,0.119,0.405,0.492
"23331",0.669,0.392,0.719,0.608,0.699,0.752,0.595,0.446,0.599,0.7,0.652
"23332",0.615,0.321,0.719,0.558,0.601,0.719,0.546,0.421,0.543,0.63,0.615
"23333",0.601,0.302,0.719,0.545,0.575,0.711,0.533,0.414,0.528,0.611,0.606
"23334",0.455,0.161,0.528,0.521,0.362,0.643,0.35,0.308,0.315,0.502,0.544
"23335",0.302,0.014,0.331,0.496,0.14,0.573,0.16,0.197,0.094,0.389,0.479
"23341",0.536,0.262,0.508,0.563,0.509,0.628,0.41,0.336,0.387,0.574,0.558
"23342",0.482,0.19,0.508,0.513,0.41,0.595,0.361,0.311,0.33,0.511,0.522
"23343",0.468,0.172,0.508,0.5,0.385,0.587,0.348,0.304,0.316,0.494,0.512
"23344",0.321,0.065,0.381,0.476,0.217,0.519,0.222,0.225,0.156,0.408,0.45
"23345",0.169,-0.047,0.25,0.451,0.043,0.449,0.091,0.143,-0.011,0.318,0.385
"23351",0.335,0.065,0.193,0.494,0.222,0.441,0.132,0.17,0.067,0.385,0.417
"23352",0.281,-0.006,0.193,0.444,0.124,0.408,0.083,0.145,0.011,0.332,0.38
"23353",0.267,-0.025,0.193,0.431,0.098,0.4,0.07,0.138,-0.004,0.319,0.371
"23354",0.121,-0.08,0.161,0.407,0,0.332,0.03,0.1,-0.085,0.266,0.309
"23355",-0.032,-0.139,0.128,0.382,-0.103,0.262,-0.012,0.06,-0.169,0.211,0.244
"23411",0.7,0.437,0.725,0.659,0.7,0.762,0.548,0.453,0.615,0.714,0.689
"23412",0.646,0.365,0.725,0.609,0.602,0.729,0.498,0.428,0.559,0.667,0.652
"23413",0.632,0.347,0.725,0.596,0.576,0.721,0.486,0.421,0.544,0.655,0.643
"23414",0.485,0.233,0.586,0.572,0.401,0.653,0.349,0.337,0.374,0.554,0.58
"23415",0.333,0.116,0.443,0.547,0.218,0.583,0.208,0.25,0.198,0.449,0.516
"23421",0.65,0.347,0.635,0.595,0.631,0.709,0.476,0.396,0.516,0.654,0.635
"23422",0.596,0.275,0.635,0.545,0.533,0.676,0.427,0.37,0.46,0.593,0.599
"23423",0.582,0.257,0.635,0.532,0.507,0.668,0.414,0.364,0.445,0.577,0.589
